GUID 2ae7a36f73fa419aa4556fb34faed51c
Response_3_Condition_2_Status None
Response_3_Rewards 2
Response_3_Reward_0_Type Quest
Response_3_Reward_0_ID 27157
Response_3_Reward_1_Type Flag_Bool
Response_3_Reward_1_ID 6211
Response_3_Reward_1_Value False

// Need Help Pre OP-3
Response_4_Dialogue 27153
Response_4_Quest 27158
Response_4_Conditions 3
Response_4_Condition_0_Type Quest
Response_4_Condition_0_Logic Equal
Response_4_Condition_0_ID 27022
Response_4_Condition_0_Status None
Response_4_Condition_1_Type Quest
Response_4_Condition_1_Logic Equal
Response_4_Condition_1_ID 27021
Response_4_Condition_1_Status Completed
Response_4_Condition_2_Type Quest
Response_4_Condition_2_Logic Equal
Response_4_Condition_2_ID 27158
Response_4_Condition_2_Status None
Response_4_Rewards 1
Response_4_Reward_0_Type Quest
Response_4_Reward_0_ID 27158

Response_5_Dialogue 27154
Response_5_Quest 27156
Response_5_Conditions 1
Response_5_Condition_0_Type Quest
Response_5_Condition_0_Logic Equal
Response_5_Condition_0_ID 27156
Response_5_Condition_0_Status Ready	
Response_5_Condition_0_Reset

Response_6_Dialogue 27154
Response_6_Quest 27157
Response_6_Conditions 1
Response_6_Condition_0_Type Quest
Response_6_Condition_0_Logic Equal
Response_6_Condition_0_ID 27157
Response_6_Condition_0_Status Ready	
Response_6_Condition_0_Reset

Response_7_Dialogue 27154
Response_7_Quest 27158
Response_7_Conditions 1
Response_7_Condition_0_Type Quest
Response_7_Condition_0_Logic Equal
Response_7_Condition_0_ID 27158
Response_7_Condition_0_Status Ready	
Response_7_Condition_0_Reset

// Need Help Post-Ops
Response_8_Dialogue 27155
Response_8_Conditions 1
Response_8_Condition_0_Type Quest
Response_8_Condition_0_Logic Equal
Response_8_Condition_0_ID 27022
Response_8_Condition_0_Status Completed

// Borrowed tools?
Response_9_Dialogue 27160
Response_9_Conditions 2
Response_9_Condition_0_Type Quest
Response_9_Condition_0_ID 27210
Response_9_Condition_0_Status Active
Response_9_Condition_0_Logic Equal
Response_9_Condition_1_Type Flag_Bool
Response_9_Condition_1_ID 27161
Response_9_Condition_1_Value False
Response_9_Condition_1_Logic Equal
Response_9_Condition_1_Allow_Unset
Response_9_Rewards 2
Response_9_Reward_0_Type Flag_Bool
Response_9_Reward_0_ID 27161
Response_9_Reward_0_Value True
Response_9_Reward_1_Type Flag_Bool
Response_9_Reward_1_ID 27223
Response_9_Reward_1_Value True

// If you're copying things, at least credit NSTM.
