GUID e78263cd8ac9448181dc482d50e159d4
Response_23_Quest 26727
Response_23_Conditions 1
Response_23_Condition_0_Type Quest
Response_23_Condition_0_ID 26727
Response_23_Condition_0_Status Ready
Response_23_Condition_0_Logic Equal
Response_23_Condition_0_Reset

Response_24_Dialogue 26702
Response_24_Quest 26728
Response_24_Conditions 2
Response_24_Condition_0_Type Flag_Short
Response_24_Condition_0_ID 26705
Response_24_Condition_0_Value 8
Response_24_Condition_0_Logic Equal
Response_24_Condition_1_Type Quest
Response_24_Condition_1_ID 26728
Response_24_Condition_1_Status None
Response_24_Condition_1_Logic Equal
Response_24_Rewards 1
Response_24_Reward_0_Type Quest
Response_24_Reward_0_ID 26728

Response_25_Dialogue 26702
Response_25_Quest 26728
Response_25_Conditions 2
Response_25_Condition_0_Type Flag_Short
Response_25_Condition_0_ID 26705
Response_25_Condition_0_Value 8
Response_25_Condition_0_Logic Equal
Response_25_Condition_1_Type Quest
Response_25_Condition_1_ID 26728
Response_25_Condition_1_Status Completed
Response_25_Condition_1_Logic Equal
Response_25_Condition_1_Reset
Response_25_Rewards 1
Response_25_Reward_0_Type Quest
Response_25_Reward_0_ID 26728

Response_26_Dialogue 26703
Response_26_Quest 26728
Response_26_Conditions 1
Response_26_Condition_0_Type Quest
Response_26_Condition_0_ID 26728
Response_26_Condition_0_Status Ready
Response_26_Condition_0_Logic Equal
Response_26_Condition_0_Reset

Response_27_Dialogue 26702
Response_27_Quest 26729
Response_27_Conditions 2
Response_27_Condition_0_Type Flag_Short
Response_27_Condition_0_ID 26705
Response_27_Condition_0_Value 9
Response_27_Condition_0_Logic Equal
Response_27_Condition_1_Type Quest
Response_27_Condition_1_ID 26729
Response_27_Condition_1_Status None
Response_27_Condition_1_Logic Equal
Response_27_Rewards 1
Response_27_Reward_0_Type Quest
Response_27_Reward_0_ID 26729

Response_28_Dialogue 26702
Response_28_Quest 26729
Response_28_Conditions 2
Response_28_Condition_0_Type Flag_Short
Response_28_Condition_0_ID 26705
Response_28_Condition_0_Value 9
Response_28_Condition_0_Logic Equal
Response_28_Condition_1_Type Quest
Response_28_Condition_1_ID 26729
Response_28_Condition_1_Status Completed
Response_28_Condition_1_Logic Equal
Response_28_Condition_1_Reset
Response_28_Rewards 1
Response_28_Reward_0_Type Quest
Response_28_Reward_0_ID 26729

Response_29_Dialogue 26703
Response_29_Quest 26729
Response_29_Conditions 1
Response_29_Condition_0_Type Quest
Response_29_Condition_0_ID 26729
Response_29_Condition_0_Status Ready
Response_29_Condition_0_Logic Equal
Response_29_Condition_0_Reset

Response_30_Dialogue 26704
Response_30_Conditions 2
Response_30_Condition_0_Type Quest
Response_30_Condition_0_ID 25320
Response_30_Condition_0_Status Active
Response_30_Condition_0_Logic Equal
Response_30_Condition_1_Type Flag_Bool
Response_30_Condition_1_ID 26706
Response_30_Condition_1_Value False
Response_30_Condition_1_Logic Equal
Response_30_Condition_1_Allow_Unset
Response_30_Rewards 2
Response_30_Reward_0_Type Flag_Bool
Response_30_Reward_0_ID 26706
Response_30_Reward_0_Value True
Response_30_Reward_1_Type Flag_Short
Response_30_Reward_1_ID 25321
Response_30_Reward_1_Value 1
Response_30_Reward_1_Modification Increment

Response_31_Messages 3
Response_31_Message_0 0
Response_31_Message_1 1
Response_31_Message_2 2

Response_32_Messages 1
Response_32_Message_0 3
