GUID 1b8a8aca2dde4d98b3c1bbb83f166925
Message_3_Conditions 1
Message_3_Condition_0_Type Flag_Short
Message_3_Condition_0_ID 26854
Message_3_Condition_0_Value 99
Message_3_Condition_0_Logic Equal
// Randomize Again.
Message_3_Rewards 1
Message_3_Reward_0_Type Flag_Short_Random
Message_3_Reward_0_ID 26854
Message_3_Reward_0_Min_Value 0
Message_3_Reward_0_Max_Value 99
Message_3_Reward_0_Modification Assign

Responses 32

Response_0_Dialogue 26852
Response_0_Quest 26870
Response_0_Conditions 2
Response_0_Condition_0_Type Flag_Short
Response_0_Condition_0_ID 26855
Response_0_Condition_0_Value 0
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_Allow_Unset
Response_0_Condition_1_Type Quest
Response_0_Condition_1_ID 26870
Response_0_Condition_1_Status None
Response_0_Condition_1_Logic Equal
Response_0_Rewards 1
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 26870

Response_1_Dialogue 26852
Response_1_Quest 26870
Response_1_Conditions 2
Response_1_Condition_0_Type Flag_Short
Response_1_Condition_0_ID 26855
Response_1_Condition_0_Value 0
Response_1_Condition_0_Logic Equal
Response_1_Condition_1_Type Quest
Response_1_Condition_1_ID 26870
Response_1_Condition_1_Status Completed
Response_1_Condition_1_Logic Equal
Response_1_Condition_1_Reset
Response_1_Rewards 1
Response_1_Reward_0_Type Quest
Response_1_Reward_0_ID 26870

Response_2_Dialogue 26853
Response_2_Quest 26870
Response_2_Conditions 1
Response_2_Condition_0_Type Quest
Response_2_Condition_0_ID 26870
Response_2_Condition_0_Status Ready
Response_2_Condition_0_Logic Equal
Response_2_Condition_0_Reset

Response_3_Dialogue 26852
Response_3_Quest 26871
Response_3_Conditions 2
Response_3_Condition_0_Type Flag_Short
Response_3_Condition_0_ID 26855
Response_3_Condition_0_Value 1
Response_3_Condition_0_Logic Equal
Response_3_Condition_1_Type Quest
Response_3_Condition_1_ID 26871
Response_3_Condition_1_Status None
Response_3_Condition_1_Logic Equal
Response_3_Rewards 1
Response_3_Reward_0_Type Quest
Response_3_Reward_0_ID 26871

Response_4_Dialogue 26852
Response_4_Quest 26871
Response_4_Conditions 2
Response_4_Condition_0_Type Flag_Short
Response_4_Condition_0_ID 26855
Response_4_Condition_0_Value 1
Response_4_Condition_0_Logic Equal
Response_4_Condition_1_Type Quest
Response_4_Condition_1_ID 26871
Response_4_Condition_1_Status Completed
Response_4_Condition_1_Logic Equal
Response_4_Condition_1_Reset
Response_4_Rewards 1
Response_4_Reward_0_Type Quest
Response_4_Reward_0_ID 26871

Response_5_Dialogue 26853
Response_5_Quest 26871
Response_5_Conditions 1
Response_5_Condition_0_Type Quest
Response_5_Condition_0_ID 26871
Response_5_Condition_0_Status Ready
Response_5_Condition_0_Logic Equal
Response_5_Condition_0_Reset

Response_6_Dialogue 26852
Response_6_Quest 26872
Response_6_Conditions 2
Response_6_Condition_0_Type Flag_Short
Response_6_Condition_0_ID 26855
Response_6_Condition_0_Value 2
Response_6_Condition_0_Logic Equal
Response_6_Condition_1_Type Quest
Response_6_Condition_1_ID 26872
Response_6_Condition_1_Status None
Response_6_Condition_1_Logic Equal
Response_6_Rewards 1
Response_6_Reward_0_Type Quest
Response_6_Reward_0_ID 26872

Response_7_Dialogue 26852
Response_7_Quest 26872
Response_7_Conditions 2
Response_7_Condition_0_Type Flag_Short
Response_7_Condition_0_ID 26855
Response_7_Condition_0_Value 2
Response_7_Condition_0_Logic Equal
Response_7_Condition_1_Type Quest
Response_7_Condition_1_ID 26872
Response_7_Condition_1_Status Completed
Response_7_Condition_1_Logic Equal
Response_7_Condition_1_Reset
Response_7_Rewards 1
Response_7_Reward_0_Type Quest
Response_7_Reward_0_ID 26872

Response_8_Dialogue 26853
Response_8_Quest 26872
Response_8_Conditions 1
Response_8_Condition_0_Type Quest
Response_8_Condition_0_ID 26872
Response_8_Condition_0_Status Ready
Response_8_Condition_0_Logic Equal
Response_8_Condition_0_Reset

Response_9_Dialogue 26852
Response_9_Quest 26873
Response_9_Conditions 2
Response_9_Condition_0_Type Flag_Short
Response_9_Condition_0_ID 26855
Response_9_Condition_0_Value 3
Response_9_Condition_0_Logic Equal
Response_9_Condition_1_Type Quest
Response_9_Condition_1_ID 26873
Response_9_Condition_1_Status None
Response_9_Condition_1_Logic Equal
Response_9_Rewards 1
Response_9_Reward_0_Type Quest
Response_9_Reward_0_ID 26873

Response_10_Dialogue 26852
Response_10_Quest 26873
Response_10_Conditions 2
Response_10_Condition_0_Type Flag_Short
Response_10_Condition_0_ID 26855
Response_10_Condition_0_Value 3
Response_10_Condition_0_Logic Equal
Response_10_Condition_1_Type Quest
Response_10_Condition_1_ID 26873
Response_10_Condition_1_Status Completed
Response_10_Condition_1_Logic Equal
Response_10_Condition_1_Reset
Response_10_Rewards 1
Response_10_Reward_0_Type Quest
Response_10_Reward_0_ID 26873

Response_11_Dialogue 26853
Response_11_Quest 26873
Response_11_Conditions 1
Response_11_Condition_0_Type Quest
Response_11_Condition_0_ID 26873
Response_11_Condition_0_Status Ready
Response_11_Condition_0_Logic Equal
Response_11_Condition_0_Reset

Response_12_Dialogue 26852
Response_12_Quest 26874
Response_12_Conditions 2
Response_12_Condition_0_Type Flag_Short
Response_12_Condition_0_ID 26855
Response_12_Condition_0_Value 4
Response_12_Condition_0_Logic Equal
Response_12_Condition_1_Type Quest
Response_12_Condition_1_ID 26874
Response_12_Condition_1_Status None
Response_12_Condition_1_Logic Equal
Response_12_Rewards 1
Response_12_Reward_0_Type Quest
Response_12_Reward_0_ID 26874

Response_13_Dialogue 26852
Response_13_Quest 26874
Response_13_Conditions 2
Response_13_Condition_0_Type Flag_Short
Response_13_Condition_0_ID 26855
Response_13_Condition_0_Value 4
Response_13_Condition_0_Logic Equal
Response_13_Condition_1_Type Quest
Response_13_Condition_1_ID 26874
Response_13_Condition_1_Status Completed
Response_13_Condition_1_Logic Equal
Response_13_Condition_1_Reset
Response_13_Rewards 1
Response_13_Reward_0_Type Quest
Response_13_Reward_0_ID 26874

Response_14_Dialogue 26853
Response_14_Quest 26874
Response_14_Conditions 1
Response_14_Condition_0_Type Quest
Response_14_Condition_0_ID 26874
Response_14_Condition_0_Status Ready
Response_14_Condition_0_Logic Equal
Response_14_Condition_0_Reset

Response_15_Dialogue 26852
Response_15_Quest 26875
Response_15_Conditions 2
Response_15_Condition_0_Type Flag_Short
Response_15_Condition_0_ID 26855
Response_15_Condition_0_Value 5
Response_15_Condition_0_Logic Equal
Response_15_Condition_1_Type Quest
Response_15_Condition_1_ID 26875
Response_15_Condition_1_Status None
Response_15_Condition_1_Logic Equal
Response_15_Rewards 1
Response_15_Reward_0_Type Quest
Response_15_Reward_0_ID 26875

Response_16_Dialogue 26852
Response_16_Quest 26875
Response_16_Conditions 2
Response_16_Condition_0_Type Flag_Short
Response_16_Condition_0_ID 26855
Response_16_Condition_0_Value 5
Response_16_Condition_0_Logic Equal
Response_16_Condition_1_Type Quest
Response_16_Condition_1_ID 26875
Response_16_Condition_1_Status Completed
Response_16_Condition_1_Logic Equal
Response_16_Condition_1_Reset
Response_16_Rewards 1
Response_16_Reward_0_Type Quest
Response_16_Reward_0_ID 26875

Response_17_Dialogue 26853
Response_17_Quest 26875
Response_17_Conditions 1
Response_17_Condition_0_Type Quest
Response_17_Condition_0_ID 26875
Response_17_Condition_0_Status Ready
Response_17_Condition_0_Logic Equal
Response_17_Condition_0_Reset

Response_18_Dialogue 26852
Response_18_Quest 26876
Response_18_Conditions 2
Response_18_Condition_0_Type Flag_Short
Response_18_Condition_0_ID 26855
Response_18_Condition_0_Value 6
Response_18_Condition_0_Logic Equal
Response_18_Condition_1_Type Quest
Response_18_Condition_1_ID 26876
Response_18_Condition_1_Status None
Response_18_Condition_1_Logic Equal
Response_18_Rewards 1
Response_18_Reward_0_Type Quest
Response_18_Reward_0_ID 26876

Response_19_Dialogue 26852
Response_19_Quest 26876
Response_19_Conditions 2
Response_19_Condition_0_Type Flag_Short
Response_19_Condition_0_ID 26855
Response_19_Condition_0_Value 6
Response_19_Condition_0_Logic Equal
Response_19_Condition_1_Type Quest
Response_19_Condition_1_ID 26876
Response_19_Condition_1_Status Completed
Response_19_Condition_1_Logic Equal
Response_19_Condition_1_Reset
Response_19_Rewards 1
Response_19_Reward_0_Type Quest
Response_19_Reward_0_ID 26876

Response_20_Dialogue 26853
Response_20_Quest 26876
Response_20_Conditions 1
Response_20_Condition_0_Type Quest
Response_20_Condition_0_ID 26876
Response_20_Condition_0_Status Ready
Response_20_Condition_0_Logic Equal
Response_20_Condition_0_Reset

Response_21_Dialogue 26852
Response_21_Quest 26877
Response_21_Conditions 2
Response_21_Condition_0_Type Flag_Short
Response_21_Condition_0_ID 26855
Response_21_Condition_0_Value 7
Response_21_Condition_0_Logic Equal
Response_21_Condition_1_Type Quest
Response_21_Condition_1_ID 26877
Response_21_Condition_1_Status None
Response_21_Condition_1_Logic Equal
Response_21_Rewards 1
Response_21_Reward_0_Type Quest
Response_21_Reward_0_ID 26877

Response_22_Dialogue 26852
Response_22_Quest 26877
Response_22_Conditions 2
Response_22_Condition_0_Type Flag_Short
Response_22_Condition_0_ID 26855
Response_22_Condition_0_Value 7
Response_22_Condition_0_Logic Equal
Response_22_Condition_1_Type Quest
Response_22_Condition_1_ID 26877
Response_22_Condition_1_Status Completed
Response_22_Condition_1_Logic Equal
Response_22_Condition_1_Reset
Response_22_Rewards 1
Response_22_Reward_0_Type Quest
Response_22_Reward_0_ID 26877

Response_23_Dialogue 26853
Response_23_Quest 26877
Response_23_Conditions 1
Response_23_Condition_0_Type Quest
Response_23_Condition_0_ID 26877
Response_23_Condition_0_Status Ready
Response_23_Condition_0_Logic Equal
Response_23_Condition_0_Reset

Response_24_Dialogue 26852
Response_24_Quest 26878
Response_24_Conditions 2
Response_24_Condition_0_Type Flag_Short
Response_24_Condition_0_ID 26855
Response_24_Condition_0_Value 8
Response_24_Condition_0_Logic Equal
Response_24_Condition_1_Type Quest
Response_24_Condition_1_ID 26878
Response_24_Condition_1_Status None
Response_24_Condition_1_Logic Equal
Response_24_Rewards 1
Response_24_Reward_0_Type Quest
Response_24_Reward_0_ID 26878

Response_25_Dialogue 26852
Response_25_Quest 26878
Response_25_Conditions 2
Response_25_Condition_0_Type Flag_Short
Response_25_Condition_0_ID 26855
Response_25_Condition_0_Value 8
Response_25_Condition_0_Logic Equal
Response_25_Condition_1_Type Quest
Response_25_Condition_1_ID 26878
Response_25_Condition_1_Status Completed
Response_25_Condition_1_Logic Equal
Response_25_Condition_1_Reset
Response_25_Rewards 1
Response_25_Reward_0_Type Quest
Response_25_Reward_0_ID 26878

Response_26_Dialogue 26853
Response_26_Quest 26878
Response_26_Conditions 1
Response_26_Condition_0_Type Quest
Response_26_Condition_0_ID 26878
Response_26_Condition_0_Status Ready
Response_26_Condition_0_Logic Equal
Response_26_Condition_0_Reset

Response_27_Dialogue 26852
Response_27_Quest 26879
Response_27_Conditions 2
Response_27_Condition_0_Type Flag_Short
Response_27_Condition_0_ID 26855
Response_27_Condition_0_Value 9
Response_27_Condition_0_Logic Equal
Response_27_Condition_1_Type Quest
Response_27_Condition_1_ID 26879
Response_27_Condition_1_Status None
Response_27_Condition_1_Logic Equal
Response_27_Rewards 1
Response_27_Reward_0_Type Quest
Response_27_Reward_0_ID 26879

Response_28_Dialogue 26852
Response_28_Quest 26879
Response_28_Conditions 2
Response_28_Condition_0_Type Flag_Short
Response_28_Condition_0_ID 26855
Response_28_Condition_0_Value 9
Response_28_Condition_0_Logic Equal
Response_28_Condition_1_Type Quest
Response_28_Condition_1_ID 26879
Response_28_Condition_1_Status Completed
Response_28_Condition_1_Logic Equal
Response_28_Condition_1_Reset
Response_28_Rewards 1
Response_28_Reward_0_Type Quest
Response_28_Reward_0_ID 26879

Response_29_Dialogue 26853
Response_29_Quest 26879
Response_29_Conditions 1
Response_29_Condition_0_Type Quest
Response_29_Condition_0_ID 26879
Response_29_Condition_0_Status Ready
Response_29_Condition_0_Logic Equal
Response_29_Condition_0_Reset

Response_30_Messages 3
Response_30_Message_0 0
Response_30_Message_1 1
Response_30_Message_2 2

Response_31_Messages 1
Response_31_Message_0 3
