GUID 66c9d01768384360bf0af50f112986cc
Selling_15_Condition_0_Type Flag_Bool
Selling_15_Condition_0_ID 4093
Selling_15_Condition_0_Value True
Selling_15_Condition_0_Logic Equal

// Beef Sandwich
Selling_16_ID 1407
Selling_16_Cost 130
Selling_16_Conditions 1
Selling_16_Condition_0_Type Flag_Bool
Selling_16_Condition_0_ID 4093
Selling_16_Condition_0_Value False
Selling_16_Condition_0_Logic Equal
Selling_16_Condition_0_Allow_Unset

Selling_17_ID 1407
Selling_17_Cost 65
Selling_17_Conditions 1
Selling_17_Condition_0_Type Flag_Bool
Selling_17_Condition_0_ID 4093
Selling_17_Condition_0_Value True
Selling_17_Condition_0_Logic Equal

// Bass Sandwich
Selling_18_ID 1403
Selling_18_Cost 130
Selling_18_Conditions 1
Selling_18_Condition_0_Type Flag_Bool
Selling_18_Condition_0_ID 4093
Selling_18_Condition_0_Value False
Selling_18_Condition_0_Logic Equal
Selling_18_Condition_0_Allow_Unset

Selling_19_ID 1403
Selling_19_Cost 65
Selling_19_Conditions 1
Selling_19_Condition_0_Type Flag_Bool
Selling_19_Condition_0_ID 4093
Selling_19_Condition_0_Value True
Selling_19_Condition_0_Logic Equal

// Dough
Selling_20_ID 1162
Selling_20_Cost 20
Selling_20_Conditions 1
Selling_20_Condition_0_Type Flag_Bool
Selling_20_Condition_0_ID 4093
Selling_20_Condition_0_Value False
Selling_20_Condition_0_Logic Equal
Selling_20_Condition_0_Allow_Unset

Selling_21_ID 1162
Selling_21_Cost 10
Selling_21_Conditions 1
Selling_21_Condition_0_Type Flag_Bool
Selling_21_Condition_0_ID 4093
Selling_21_Condition_0_Value True
Selling_21_Condition_0_Logic Equal
